Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1.0,1,2020-12-23,02114,0,53203,W 122-121,,13:00,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,0,1,1,0,1,0,0,1,3,1.5,-2
2,2.0,2,2020-12-25,02114,0,11217,L 95-123,,25:06,3,5,.600,1,2,.500,2,3,.667,.700,0,0,,0,2,2,1,2,0,3,3,7,3.8,-9
3,3.0,3,2020-12-27,02114,1,46225,L 107-108,,23:00,5,5,1.000,3,3,1.000,2,2,1.000,1.300,0,0,,0,0,0,2,2,0,2,0,13,12.9,9
4,4.0,4,2020-12-29,02114,1,46225,W 116-111,,27:10,4,8,.500,0,2,.000,4,6,.667,.500,2,3,.667,0,5,5,5,1,0,3,1,10,8.2,3
5,5.0,5,2020-12-30,02114,0,38103,W 126-107,,21:14,4,6,.667,0,0,,4,6,.667,.667,0,0,,0,2,2,3,2,0,1,3,8,7.9,10
6,6.0,6,2021-01-01,02114,1,48226,L 93-96,,16:00,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,0,0,2,2,2,2,0,0,0.7,1
7,7.0,7,2021-01-03,02114,1,48226,W 122-120,,27:35,2,6,.333,1,3,.333,1,3,.333,.417,0,0,,0,4,4,4,1,1,2,5,5,3.3,7
8,8.0,8,2021-01-04,02114,1,51300,W 126-114,,32:22,8,13,.615,2,4,.500,6,9,.667,.692,5,5,1.000,0,2,2,8,0,0,3,2,23,19.5,18
9,9.0,9,2021-01-06,02114,1,33132,W 107-105,,20:23,3,10,.300,0,4,.000,3,6,.500,.300,0,0,,4,2,6,4,0,0,0,3,6,5.2,6
10,10.0,10,2021-01-08,02114,0,20004,W 116-107,,23:13,3,4,.750,3,3,1.000,0,1,.000,1.125,2,2,1.000,1,1,2,2,2,0,3,2,11,10.0,2
11,11.0,11,2021-01-15,02114,0,32801,W 124-97,,25:16,6,13,.462,4,8,.500,2,5,.400,.615,0,0,,0,4,4,3,0,1,0,2,16,12.5,24
12,12.0,12,2021-01-17,02114,0,10001,L 75-105,,17:23,1,3,.333,1,3,.333,0,0,,.500,0,0,,1,4,5,0,0,1,2,1,3,1.5,-4
13,13.0,13,2021-01-20,02114,1,19148,L 109-117,,19:19,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,0,0,0,2,0,0,1,2,3,0.9,-12
14,14.0,14,2021-01-22,02114,1,19148,L 110-122,,02:16,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,2
15,15.0,21,2021-02-05,02114,1,90015,W 119-115,,19:18,3,4,.750,2,3,.667,1,1,1.000,1.000,0,0,,1,1,2,2,0,0,0,1,8,8.4,1
16,16.0,22,2021-02-07,02114,1,85004,L 91-100,,22:54,4,9,.444,4,9,.444,0,0,,.667,0,0,,0,5,5,1,0,0,0,2,12,8.7,1
17,17.0,23,2021-02-09,02114,1,84101,L 108-122,,15:24,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,0,0,1,0,0,0,3,3,0.1,0
18,18.0,24,2021-02-11,02114,0,51300,W 120-106,,29:06,6,10,.600,6,8,.750,0,2,.000,.900,2,2,1.000,2,3,5,1,0,0,2,2,20,15.6,-11
19,19.0,25,2021-02-12,02114,0,48226,L 102-108,*,28:43,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,0,3,3,1,0,0,1,3,2,-1.7,8
20,20.0,26,2021-02-14,02114,1,20004,L 91-104,,17:27,2,7,.286,0,3,.000,2,4,.500,.286,0,0,,1,2,3,2,0,0,0,1,4,2.2,-11
21,21.0,27,2021-02-16,02114,0,80204,W 112-99,,22:49,3,5,.600,1,3,.333,2,2,1.000,.700,1,1,1.000,0,1,1,7,0,0,1,2,8,9.1,19
22,22.0,28,2021-02-17,02114,0,30313,L 114-122,,22:51,5,11,.455,1,5,.200,4,6,.667,.500,0,0,,1,1,2,2,0,0,2,5,11,3.7,1
23,23.0,29,2021-02-19,02114,0,30313,W 121-109,,17:20,0,7,.000,0,5,.000,0,2,.000,.000,0,0,,0,1,1,0,0,0,1,1,0,-6.0,-18
24,24.0,30,2021-02-21,02114,1,70112,L 115-120 (OT),,16:53,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,0,0,0,3,1,0,1,1,4,4.4,-6
25,25.0,31,2021-02-23,02114,1,75219,L 107-110,,19:08,2,7,.286,1,4,.250,1,3,.333,.357,2,2,1.000,1,0,1,3,0,0,1,2,7,3.9,-11
26,26.0,32,2021-02-24,02114,1,30313,L 112-127,,17:00,1,5,.200,0,1,.000,1,4,.250,.200,1,1,1.000,0,1,1,0,1,0,0,1,3,0.8,-12
27,27.0,33,2021-02-26,02114,0,46225,W 118-112,,30:19,4,6,.667,1,1,1.000,3,5,.600,.750,0,0,,3,1,4,1,0,0,0,2,9,8.7,13
28,28.0,34,2021-02-28,02114,0,20004,W 111-110,,20:39,3,9,.333,1,2,.500,2,7,.286,.389,0,0,,0,5,5,2,0,0,1,2,7,3.0,-9
29,29.0,35,2021-03-02,02114,0,90015,W 117-112,,23:19,5,8,.625,4,7,.571,1,1,1.000,.875,0,0,,0,2,2,3,1,0,1,2,14,12.3,5
30,30.0,36,2021-03-04,02114,0,51300,W 132-125,,24:24,3,4,.750,2,3,.667,1,1,1.000,1.000,2,2,1.000,1,1,2,4,2,0,1,4,10,11.6,0
31,31.0,37,2021-03-11,02114,1,11217,L 109-121,,13:27,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,0,0,2,0,0,0,0,3,1.3,-5
32,32.0,38,2021-03-14,02114,1,77002,W 134-107,,13:30,3,6,.500,3,5,.600,0,1,.000,.750,0,0,,0,0,0,3,0,0,1,3,9,5.9,1
33,33.0,39,2021-03-16,02114,0,84101,L 109-117,,11:57,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-5
34,34.0,40,2021-03-17,02114,1,44115,L 110-117,,18:47,3,4,.750,0,1,.000,3,3,1.000,.750,1,2,.500,1,0,1,1,1,0,0,1,7,7.0,3
