Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
5,680,5,2024-11-01,80204,1,55403,L 116-119,*,39:42,8,16,0.5,2,3,0.667,6,13,0.462,0.563,8,10,0.8,2,7,9,13,3,1,3,1,26,30.1,6
6,681,6,2024-11-02,80204,0,84101,W 129-103,*,29:42,10,18,0.556,3,4,0.75,7,14,0.5,0.639,4,4,1.0,5,11,16,9,1,0,5,1,27,27.1,31
7,682,7,2024-11-04,80204,0,51300,W 121-119,*,38:12,10,22,0.455,1,5,0.2,9,17,0.529,0.477,7,8,0.875,5,9,14,13,1,2,7,2,28,26.1,-1
8,683,8,2024-11-06,80204,0,73102,W 124-122,*,39:29,9,20,0.45,1,3,0.333,8,17,0.471,0.475,4,6,0.667,7,13,20,16,2,2,5,2,23,29.4,8
9,684,9,2024-11-08,80204,0,33132,W 135-122,*,40:00,11,13,0.846,1,1,1.0,10,12,0.833,0.885,7,7,1.0,2,9,11,14,2,0,5,2,30,35.4,26
10,685,10,2024-11-10,80204,0,75219,W 122-120,*,38:01,13,21,0.619,3,3,1.0,10,18,0.556,0.69,8,8,1.0,8,10,18,15,3,0,4,2,37,44.8,13
11,686,14,2024-11-22,80204,0,75219,L 120-123,*,39:28,13,22,0.591,2,2,1.0,11,20,0.55,0.636,5,7,0.714,6,11,17,10,0,0,3,0,33,33.5,4
12,687,15,2024-11-23,80204,1,90015,W 127-102,*,36:37,12,20,0.6,3,7,0.429,9,13,0.692,0.675,7,8,0.875,2,11,13,8,2,1,6,3,34,30.2,39
13,688,16,2024-11-25,80204,0,10001,L 118-145,*,31:50,9,20,0.45,2,7,0.286,7,13,0.538,0.5,2,2,1.0,3,4,7,7,1,0,0,1,22,20.4,-20
14,689,17,2024-11-27,80204,1,84101,W 122-103,*,33:37,13,19,0.684,2,3,0.667,11,16,0.688,0.737,2,3,0.667,3,7,10,7,1,1,1,1,30,30.9,20
15,690,18,2024-12-01,80204,1,90015,L 122-126,*,39:04,12,24,0.5,2,7,0.286,10,17,0.588,0.542,2,4,0.5,3,11,14,11,1,1,5,3,28,23.8,-7
16,691,19,2024-12-03,80204,0,94607,W 119-115,*,40:02,14,24,0.583,3,4,0.75,11,20,0.55,0.646,7,9,0.778,2,8,10,6,5,1,4,1,38,35.3,23
17,692,20,2024-12-05,80204,1,44115,L 114-126,*,38:40,13,26,0.5,0,3,0.0,13,23,0.565,0.5,1,1,1.0,3,17,20,11,3,0,3,3,27,27.7,-8
18,693,21,2024-12-07,80204,1,20004,L 113-122,*,38:39,22,39,0.564,3,6,0.5,19,33,0.576,0.603,9,13,0.692,7,9,16,8,1,0,5,5,56,43.1,-1
19,694,22,2024-12-08,80204,1,30313,W 141-111,*,35:03,17,29,0.586,3,6,0.5,14,23,0.609,0.638,11,13,0.846,3,11,14,8,3,0,3,2,48,43.9,25
20,695,23,2024-12-13,80204,0,90015,W 120-98,*,29:57,6,9,0.667,2,2,1.0,4,7,0.571,0.778,2,4,0.5,0,7,7,2,2,0,5,2,16,11.0,14
21,696,24,2024-12-16,80204,1,95814,W 130-129,*,38:18,8,19,0.421,1,6,0.167,7,13,0.538,0.447,3,4,0.75,2,12,14,13,2,1,5,0,20,21.3,4
22,697,25,2024-12-19,80204,1,97227,L 124-126,*,36:37,13,18,0.722,4,6,0.667,9,12,0.75,0.833,4,4,1.0,0,6,6,8,1,0,3,4,34,30.4,-5
23,698,26,2024-12-22,80204,1,70112,W 132-129 (OT),*,42:34,11,20,0.55,2,3,0.667,9,17,0.529,0.6,3,5,0.6,2,11,13,10,1,1,3,5,27,25.0,6
24,699,27,2024-12-23,80204,0,85004,W 117-90,*,29:45,12,17,0.706,4,6,0.667,8,11,0.727,0.824,4,5,0.8,0,2,2,7,0,0,1,1,32,28.6,19
25,700,28,2024-12-25,80204,1,85004,L 100-110,*,37:48,10,19,0.526,2,7,0.286,8,12,0.667,0.579,3,4,0.75,5,10,15,2,2,0,2,1,25,22.8,-3
26,701,29,2024-12-27,80204,0,44115,L 135-149,*,35:45,12,19,0.632,0,3,0.0,12,16,0.75,0.632,3,4,0.75,3,11,14,13,3,0,1,1,27,34.2,-15
27,702,30,2024-12-28,80204,0,48226,W 134-121,*,37:14,11,17,0.647,4,5,0.8,7,12,0.583,0.765,11,14,0.786,1,8,9,8,0,0,2,4,37,33.4,25
28,703,31,2024-12-30,80204,1,84101,W 132-121,*,38:18,14,33,0.424,3,9,0.333,11,24,0.458,0.47,5,6,0.833,7,15,22,11,4,0,2,0,36,37.2,20
29,704,32,2025-01-01,80204,0,30313,W 139-120,*,29:31,8,16,0.5,1,1,1.0,7,15,0.467,0.531,6,6,1.0,3,14,17,15,0,1,2,2,23,29.7,31
30,705,33,2025-01-03,80204,0,78219,L 110-113,*,36:39,15,36,0.417,3,10,0.3,12,26,0.462,0.458,8,9,0.889,4,14,18,9,2,0,2,3,41,33.5,7
31,706,34,2025-01-04,80204,1,78219,W 122-111 (OT),*,43:19,19,35,0.543,3,8,0.375,16,27,0.593,0.586,5,6,0.833,4,5,9,10,2,2,2,3,46,40.2,7
32,707,37,2025-01-10,80204,0,11217,W 124-105,*,38:11,14,21,0.667,1,1,1.0,13,20,0.65,0.69,6,8,0.75,5,7,12,15,4,0,1,1,35,43.8,33
33,708,38,2025-01-12,80204,1,75219,W 112-101,*,38:38,6,13,0.462,0,2,0.0,6,11,0.545,0.462,7,9,0.778,4,14,18,9,3,0,4,4,19,22.2,-2
34,709,39,2025-01-14,80204,1,75219,W 118-99,*,28:56,4,7,0.571,1,2,0.5,3,5,0.6,0.643,1,2,0.5,2,12,14,10,2,0,1,3,10,18.1,23
35,710,41,2025-01-17,80204,1,33132,W 133-113,*,30:37,9,12,0.75,1,2,0.5,8,10,0.8,0.792,5,5,1.0,2,10,12,10,1,0,2,1,24,29.2,6
36,711,42,2025-01-19,80204,1,32801,W 113-100,*,30:07,7,9,0.778,0,0,,7,9,0.778,0.778,6,7,0.857,1,13,14,10,3,3,2,0,20,30.8,20
37,712,43,2025-01-21,80204,0,19148,W 144-109,*,30:21,10,15,0.667,2,3,0.667,8,12,0.667,0.733,5,5,1.0,5,8,13,10,4,1,2,1,27,35.7,21
38,713,44,2025-01-23,80204,0,95814,W 132-123,*,37:23,12,19,0.632,2,3,0.667,10,16,0.625,0.684,9,10,0.9,3,19,22,17,1,2,1,5,35,45.2,11
39,714,45,2025-01-25,80204,1,55403,L 104-133,*,32:24,9,13,0.692,2,4,0.5,7,9,0.778,0.769,0,1,0.0,1,2,3,11,0,0,7,0,20,16.1,-24
40,715,46,2025-01-27,80204,1,60612,L 121-129,*,39:43,15,21,0.714,1,4,0.25,14,17,0.824,0.738,2,2,1.0,2,10,12,14,1,1,4,1,33,35.8,1
41,716,47,2025-01-29,80204,1,10001,L 112-122,*,33:26,6,15,0.4,3,7,0.429,3,8,0.375,0.5,2,2,1.0,0,6,6,6,2,1,2,3,17,14.4,-3
42,717,48,2025-01-31,80204,1,19148,W 137-134,*,37:28,11,16,0.688,2,3,0.667,9,13,0.692,0.75,4,5,0.8,2,7,9,13,2,0,6,3,28,28.2,0
43,718,49,2025-02-01,80204,1,28202,W 107-104,*,36:33,9,17,0.529,2,7,0.286,7,10,0.7,0.588,8,9,0.889,1,12,13,17,4,1,4,2,28,35.4,-2
44,719,50,2025-02-03,80204,0,70112,W 125-113,*,36:04,9,13,0.692,1,3,0.333,8,10,0.8,0.731,8,10,0.8,1,13,14,10,1,2,1,2,27,32.9,11
45,720,51,2025-02-05,80204,0,70112,W 144-119,*,35:42,15,28,0.536,5,13,0.385,10,15,0.667,0.625,3,3,1.0,2,6,8,10,1,1,1,3,38,34.1,24
46,721,52,2025-02-06,80204,0,32801,W 112-90,*,31:07,11,16,0.688,2,4,0.5,9,12,0.75,0.75,4,6,0.667,0,10,10,12,2,0,3,2,28,30.0,22
47,722,53,2025-02-08,80204,1,85004,W 122-105,*,28:38,11,13,0.846,1,2,0.5,10,11,0.909,0.885,3,3,1.0,4,7,11,9,0,0,2,4,26,28.9,19
48,723,54,2025-02-10,80204,0,97227,W 146-117,*,30:46,15,22,0.682,2,7,0.286,13,15,0.867,0.727,8,8,1.0,1,6,7,8,3,1,5,2,40,36.6,22
49,724,55,2025-02-12,80204,0,97227,W 132-121,*,36:03,11,20,0.55,0,3,0.0,11,17,0.647,0.55,4,4,1.0,3,12,15,10,2,0,4,4,26,25.5,6
50,725,56,2025-02-20,80204,0,28202,W 129-115,*,36:55,11,22,0.5,6,14,0.429,5,8,0.625,0.636,1,2,0.5,4,13,17,9,1,1,2,1,29,29.9,14
51,726,57,2025-02-22,80204,0,90015,L 100-123,*,35:10,2,7,0.286,0,1,0.0,2,6,0.333,0.286,8,10,0.8,4,9,13,10,1,0,6,3,12,13.4,-11
52,727,58,2025-02-24,80204,1,46225,W 125-116,*,38:32,9,14,0.643,0,1,0.0,9,13,0.692,0.643,0,0,,0,9,9,19,3,1,4,1,18,27.1,17
53,728,59,2025-02-27,80204,1,53203,L 112-121,*,37:32,13,16,0.813,1,2,0.5,12,14,0.857,0.844,5,7,0.714,1,13,14,10,1,0,5,4,32,31.2,-5
54,729,60,2025-02-28,80204,1,48226,W 134-119,*,34:10,6,12,0.5,0,3,0.0,6,9,0.667,0.5,11,12,0.917,0,17,17,15,1,2,7,2,23,26.8,33
55,730,61,2025-03-02,80204,1,02114,L 103-110,*,39:23,9,15,0.6,2,3,0.667,7,12,0.583,0.667,0,0,,3,11,14,9,2,0,2,2,20,24.0,0
56,731,62,2025-03-05,80204,0,95814,W 116-110,*,38:08,9,18,0.5,0,2,0.0,9,16,0.563,0.5,4,6,0.667,5,10,15,6,1,0,7,3,22,15.7,-7
57,732,63,2025-03-07,80204,0,85004,W 149-141 (OT),*,44:55,13,22,0.591,3,7,0.429,10,15,0.667,0.659,2,3,0.667,4,17,21,22,3,0,4,3,31,41.5,8
58,733,64,2025-03-09,80204,1,73102,L 103-127,*,41:14,10,23,0.435,2,10,0.2,8,13,0.615,0.478,2,6,0.333,2,11,13,9,1,3,2,3,24,21.2,-13
59,734,65,2025-03-10,80204,1,73102,W 140-127,*,39:36,15,20,0.75,1,2,0.5,14,18,0.778,0.775,4,5,0.8,2,16,18,8,1,1,1,4,35,37.5,8
60,735,66,2025-03-12,80204,0,55403,L 95-115,*,38:16,13,23,0.565,2,6,0.333,11,17,0.647,0.609,6,8,0.75,3,5,8,4,1,0,3,3,34,25.5,-24
61,736,67,2025-03-14,80204,0,90015,W 131-126,*,37:47,8,16,0.5,0,4,0.0,8,12,0.667,0.5,12,17,0.706,1,6,7,5,3,1,4,5,28,21.7,2
62,737,68,2025-03-15,80204,0,20004,L 123-126,*,39:14,16,30,0.533,1,8,0.125,15,22,0.682,0.55,7,7,1.0,3,10,13,9,1,2,3,3,40,35.0,6
63,738,74,2025-03-26,80204,0,53203,W 127-117,*,38:06,16,25,0.64,3,6,0.5,13,19,0.684,0.7,4,7,0.571,2,8,10,10,0,0,3,2,39,33.7,14
64,739,75,2025-03-28,80204,0,84101,W 129-93,*,31:33,8,18,0.444,1,5,0.2,7,13,0.538,0.472,10,12,0.833,5,9,14,6,4,0,3,0,27,28.2,28
65,740,76,2025-04-01,80204,0,55403,L 139-140 (2OT),*,52:38,18,29,0.621,6,11,0.545,12,18,0.667,0.724,19,24,0.792,2,8,10,10,2,0,4,5,61,52.7,2
66,741,78,2025-04-04,80204,1,94607,L 104-118,*,37:13,13,17,0.765,4,7,0.571,9,10,0.9,0.882,3,3,1.0,2,10,12,9,2,0,6,2,33,32.2,-4
67,742,79,2025-04-06,80204,0,46225,L 120-125,*,39:00,18,33,0.545,3,11,0.273,15,22,0.682,0.591,2,3,0.667,3,12,15,13,2,1,4,0,41,38.2,1
68,743,80,2025-04-09,80204,1,95814,W 124-116,*,37:42,5,12,0.417,0,1,0.0,5,11,0.455,0.417,10,10,1.0,3,9,12,11,4,0,1,2,20,28.3,9
69,744,81,2025-04-11,80204,0,38103,W 117-109,*,40:55,11,19,0.579,1,2,0.5,10,17,0.588,0.605,3,7,0.429,3,13,16,13,2,0,5,3,26,26.4,11
70,745,82,2025-04-13,80204,1,77002,W 126-111,*,30:47,7,10,0.7,3,5,0.6,4,5,0.8,0.85,1,2,0.5,1,6,7,7,2,1,1,3,18,21.3,34
