Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2009-10-28,94607,0,77002,L 107-108,*,35:39,7,12,0.583,0,1,0.0,7,11,0.636,0.583,0,0,,1,1,2,7,4,0,2,2,14,15.5,7
2,2,2,2009-10-30,94607,1,85004,L 101-123,*,39:05,5,9,0.556,2,3,0.667,3,6,0.5,0.667,0,0,,0,2,2,4,1,0,3,5,12,7.1,-19
3,3,3,2009-11-04,94607,0,38103,W 113-105,*,28:27,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,0,5,5,9,2,0,1,4,7,11.2,-4
4,4,4,2009-11-06,94607,0,90015,L 90-118,*,21:32,1,5,0.2,0,1,0.0,1,4,0.25,0.2,3,4,0.75,0,1,1,3,0,0,0,6,5,1.5,-13
5,5,5,2009-11-08,94607,1,95814,L 107-120,*,31:15,4,8,0.5,1,2,0.5,3,6,0.5,0.563,0,2,0.0,1,3,4,6,0,0,5,4,9,3.4,-5
6,6,6,2009-11-09,94607,0,55403,W 146-105,*,29:49,2,8,0.25,1,2,0.5,1,6,0.167,0.313,3,4,0.75,0,2,2,5,1,0,2,1,8,5.5,28
7,7,7,2009-11-11,94607,1,46225,L 94-108,,21:11,3,7,0.429,0,2,0.0,3,5,0.6,0.429,0,0,,0,1,1,4,1,0,3,2,6,2.6,-13
8,8,8,2009-11-13,94607,1,10001,W 121-107,,02:35,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,1,0,1,0,0.3,3
9,9,9,2009-11-14,94607,1,53203,L 125-129,,25:57,6,9,0.667,2,2,1.0,4,7,0.571,0.778,0,0,,1,3,4,2,2,1,1,5,14,12.8,2
10,10,10,2009-11-17,94607,1,44115,L 108-114,*,41:18,6,10,0.6,2,6,0.333,4,4,1.0,0.7,0,1,0.0,0,5,5,7,0,0,3,2,14,11.6,-4
11,11,11,2009-11-18,94607,1,02114,L 95-109,*,35:24,4,10,0.4,1,4,0.25,3,6,0.5,0.45,4,4,1.0,0,0,0,7,4,0,6,3,13,9.3,5
12,12,12,2009-11-20,94607,0,97227,W 108-94,*,45:34,3,9,0.333,2,3,0.667,1,6,0.167,0.444,4,5,0.8,0,6,6,8,1,1,1,6,12,12.2,18
13,13,13,2009-11-24,94607,1,75219,W 111-103,*,34:48,6,12,0.5,2,4,0.5,4,8,0.5,0.583,4,4,1.0,1,3,4,6,3,0,4,5,18,14.8,16
14,14,14,2009-11-25,94607,1,78219,L 104-118,*,34:12,5,16,0.313,1,4,0.25,4,12,0.333,0.344,0,0,,1,6,7,5,1,2,6,3,11,3.0,-7
15,15,15,2009-11-28,94607,0,90015,L 97-130,*,36:01,5,15,0.333,1,5,0.2,4,10,0.4,0.367,2,2,1.0,1,3,4,8,0,0,1,0,13,10.7,-23
16,16,16,2009-11-30,94607,0,46225,W 126-107,*,19:50,2,5,0.4,1,2,0.5,1,3,0.333,0.5,2,2,1.0,0,2,2,4,3,0,2,2,7,7.9,-7
17,17,17,2009-12-01,94607,1,80204,L 107-135,*,40:42,4,14,0.286,2,6,0.333,2,8,0.25,0.357,0,0,,1,3,4,6,2,2,1,2,10,9.2,-14
18,18,18,2009-12-03,94607,0,77002,L 109-111,*,31:51,4,8,0.5,1,3,0.333,3,5,0.6,0.563,2,2,1.0,1,4,5,2,2,1,4,3,11,7.8,-3
19,19,19,2009-12-05,94607,0,32801,L 118-126,*,46:09,6,12,0.5,0,2,0.0,6,10,0.6,0.5,1,1,1.0,0,3,3,3,1,0,3,4,13,6.4,-8
20,20,20,2009-12-07,94607,1,73102,L 88-104,*,36:26,9,14,0.643,2,4,0.5,7,10,0.7,0.714,2,2,1.0,0,4,4,2,4,0,5,5,22,15.4,-17
21,21,21,2009-12-09,94607,1,,W 105-89,*,30:12,6,13,0.462,1,4,0.25,5,9,0.556,0.5,1,2,0.5,1,3,4,4,3,0,4,4,14,8.7,7
22,22,22,2009-12-11,94607,1,60612,L 91-96 (OT),*,27:15,3,9,0.333,0,3,0.0,3,6,0.5,0.333,0,0,,0,3,3,1,1,0,0,0,6,3.5,-8
23,23,23,2009-12-12,94607,1,48226,L 95-104,*,37:50,5,10,0.5,3,4,0.75,2,6,0.333,0.65,6,6,1.0,0,2,2,4,4,1,4,4,19,16.5,-11
24,24,24,2009-12-14,94607,1,19148,L 101-117,*,36:24,5,13,0.385,1,4,0.25,4,9,0.444,0.423,3,4,0.75,0,4,4,4,4,1,4,5,14,9.2,-14
25,25,25,2009-12-16,94607,0,78219,L 91-103,*,25:03,4,11,0.364,0,2,0.0,4,9,0.444,0.364,0,0,,1,3,4,3,4,0,1,5,8,6.6,-12
26,26,26,2009-12-18,94607,0,20004,L 109-118,*,46:15,9,17,0.529,5,9,0.556,4,8,0.5,0.676,4,4,1.0,1,7,8,4,3,0,2,4,27,23.7,-10
27,27,27,2009-12-22,94607,1,38103,L 108-121,*,41:17,6,15,0.4,2,6,0.333,4,9,0.444,0.467,0,0,,1,6,7,8,0,0,4,2,14,9.2,-3
28,28,28,2009-12-23,94607,1,,L 102-108,*,47:01,6,13,0.462,3,5,0.6,3,8,0.375,0.577,2,2,1.0,0,10,10,7,2,0,2,5,17,16.2,-1
29,29,29,2009-12-26,94607,0,85004,W 132-127,*,26:33,4,10,0.4,3,4,0.75,1,6,0.167,0.55,2,2,1.0,1,2,3,4,3,0,1,4,13,12.1,6
30,30,30,2009-12-28,94607,0,02114,W 103-99,*,10:41,0,4,0.0,0,1,0.0,0,3,0.0,0.0,0,1,0.0,0,2,2,0,1,0,1,3,0,-3.8,-16
31,31,31,2009-12-29,94607,1,90015,L 118-124,*,23:20,6,10,0.6,0,1,0.0,6,9,0.667,0.6,3,3,1.0,1,2,3,3,0,0,4,3,15,8.6,-7
32,32,32,2010-01-02,94607,1,97227,L 89-105,*,29:00,4,10,0.4,1,2,0.5,3,8,0.375,0.45,0,0,,0,1,1,1,1,0,3,4,9,1.0,-6
33,33,33,2010-01-05,94607,1,80204,L 122-123,*,40:18,10,13,0.769,6,6,1.0,4,7,0.571,1.0,0,0,,0,5,5,6,3,0,2,3,26,26.4,-1
34,34,34,2010-01-06,94607,1,55403,W 107-101,*,30:11,7,11,0.636,0,2,0.0,7,9,0.778,0.636,2,2,1.0,0,1,1,4,2,0,1,6,16,12.8,11
35,35,35,2010-01-08,94607,0,95814,W 108-101,*,34:08,5,10,0.5,1,2,0.5,4,8,0.5,0.55,1,2,0.5,0,3,3,4,1,0,2,3,12,8.1,5
36,36,36,2010-01-11,94607,0,44115,L 114-117,*,36:07,8,15,0.533,1,2,0.5,7,13,0.538,0.567,4,5,0.8,0,7,7,5,1,1,2,4,21,17.0,1
37,37,37,2010-01-13,94607,0,33132,L 102-115,*,32:34,3,10,0.3,3,5,0.6,0,5,0.0,0.45,0,0,,1,3,4,4,0,0,4,1,9,3.2,-12
38,38,38,2010-01-15,94607,0,53203,L 104-113,*,48:00,7,17,0.412,1,4,0.25,6,13,0.462,0.441,3,3,1.0,0,6,6,4,6,1,4,6,18,13.8,-9
39,39,39,2010-01-18,94607,0,60612,W 114-97,*,43:28,9,18,0.5,5,8,0.625,4,10,0.4,0.639,3,3,1.0,2,8,10,6,1,1,5,4,26,20.1,21
40,40,40,2010-01-20,94607,0,80204,L 118-123 (OT),*,48:47,6,17,0.353,3,8,0.375,3,9,0.333,0.441,0,0,,0,3,3,6,1,0,3,2,15,7.8,-2
41,41,41,2010-01-22,94607,0,,W 111-79,*,48:00,11,21,0.524,3,7,0.429,8,14,0.571,0.595,7,8,0.875,0,2,2,7,4,0,2,4,32,27.2,32
42,42,42,2010-01-23,94607,1,85004,L 103-112,*,40:26,10,25,0.4,4,9,0.444,6,16,0.375,0.48,1,1,1.0,0,5,5,2,0,0,1,4,25,11.8,-10
43,43,43,2010-01-26,94607,1,95814,L 96-99,*,44:42,10,22,0.455,3,10,0.3,7,12,0.583,0.523,4,5,0.8,1,8,9,6,3,0,1,3,27,23.3,9
44,44,44,2010-01-27,94607,0,,L 110-123,*,40:39,7,13,0.538,1,3,0.333,6,10,0.6,0.577,0,0,,0,5,5,8,3,0,5,4,15,12.2,-5
45,45,45,2010-01-29,94607,0,,L 110-121,*,41:00,8,15,0.533,2,4,0.5,6,11,0.545,0.6,4,4,1.0,0,1,1,9,3,0,1,3,22,22.1,0
46,46,46,2010-01-31,94607,1,73102,L 104-112,*,35:52,4,10,0.4,2,2,1.0,2,8,0.25,0.5,4,4,1.0,2,2,4,5,1,0,5,2,14,9.3,-18
47,47,47,2010-02-02,94607,1,77002,L 97-119,*,29:52,6,18,0.333,2,5,0.4,4,13,0.308,0.389,0,0,,1,1,2,4,1,0,0,1,14,8.2,-22
48,48,48,2010-02-03,94607,1,75219,L 101-110,*,26:54,1,6,0.167,0,2,0.0,1,4,0.25,0.167,4,4,1.0,0,0,0,3,0,0,3,2,6,0.5,-8
49,49,49,2010-02-06,94607,0,73102,L 95-104,*,27:05,9,15,0.6,3,7,0.429,6,8,0.75,0.7,2,3,0.667,0,1,1,4,2,0,3,3,23,16.6,2
50,50,50,2010-02-08,94607,0,75219,L 117-127,*,48:00,9,20,0.45,1,5,0.2,8,15,0.533,0.475,6,6,1.0,0,2,2,9,2,0,3,4,25,18.9,-10
51,51,51,2010-02-10,94607,0,90015,W 132-102,*,45:47,11,22,0.5,7,11,0.636,4,11,0.364,0.659,7,8,0.875,0,10,10,13,3,0,6,4,36,32.1,35
52,52,52,2010-02-16,94607,1,90015,L 94-104,*,43:38,5,21,0.238,1,10,0.1,4,11,0.364,0.262,0,0,,0,10,10,8,1,0,4,5,11,1.9,-4
53,53,53,2010-02-17,94607,0,95814,W 130-98,*,39:37,10,15,0.667,1,4,0.25,9,11,0.818,0.7,3,3,1.0,1,5,6,15,3,0,3,2,24,29.4,36
54,54,54,2010-02-19,94607,0,84101,L 89-100,*,39:00,4,9,0.444,3,6,0.5,1,3,0.333,0.611,2,2,1.0,1,5,6,7,3,0,10,1,13,8.0,0
55,55,55,2010-02-21,94607,0,30313,W 108-104,*,45:25,13,18,0.722,1,3,0.333,12,15,0.8,0.75,5,5,1.0,2,7,9,3,1,0,5,3,32,25.0,5
56,56,56,2010-02-23,94607,0,19148,L 102-110,*,37:59,8,22,0.364,1,8,0.125,7,14,0.5,0.386,0,1,0.0,1,5,6,5,0,0,2,2,17,7.3,-17
57,57,57,2010-02-25,94607,0,80204,L 112-127,*,41:39,11,19,0.579,2,5,0.4,9,14,0.643,0.632,6,6,1.0,1,6,7,13,2,1,2,1,30,33.0,-24
58,58,58,2010-02-27,94607,0,48226,W 95-88,*,48:00,11,25,0.44,3,6,0.5,8,19,0.421,0.5,2,3,0.667,1,4,5,4,1,0,5,4,27,12.6,7
59,59,59,2010-03-02,94607,1,33132,L 106-110,*,43:27,7,17,0.412,3,8,0.375,4,9,0.444,0.5,1,1,1.0,0,2,2,8,2,0,3,5,18,12.1,1
60,60,60,2010-03-03,94607,1,32801,L 90-117,*,32:11,3,12,0.25,1,2,0.5,2,10,0.2,0.292,2,2,1.0,0,3,3,7,2,0,5,2,9,3.8,-25
61,61,61,2010-03-05,94607,1,30313,L 122-127,*,48:00,11,19,0.579,5,9,0.556,6,10,0.6,0.711,4,4,1.0,1,4,5,11,2,0,7,1,31,26.3,-5
62,62,62,2010-03-06,94607,1,,L 90-101,*,48:00,8,23,0.348,4,8,0.5,4,15,0.267,0.435,5,6,0.833,2,3,5,4,0,0,3,1,25,13.4,-11
63,63,63,2010-03-08,94607,1,,L 131-135,*,33:59,5,13,0.385,2,4,0.5,3,9,0.333,0.462,0,0,,0,3,3,6,1,0,4,2,12,6.2,-14
64,64,64,2010-03-11,94607,0,97227,L 105-110,*,33:03,6,15,0.4,2,7,0.286,4,8,0.5,0.467,1,1,1.0,2,3,5,3,2,0,4,5,15,7.3,-10
65,65,65,2010-03-13,94607,0,51300,W 124-112,*,42:21,13,21,0.619,5,8,0.625,8,13,0.615,0.738,4,4,1.0,2,4,6,10,4,1,2,1,35,37.4,6
66,66,66,2010-03-15,94607,0,90015,L 121-124,*,33:50,11,19,0.579,5,9,0.556,6,10,0.6,0.711,2,2,1.0,0,5,5,9,1,0,0,4,29,27.3,-9
67,67,69,2010-03-20,94607,1,38103,L 107-123,*,25:20,4,10,0.4,1,3,0.333,3,7,0.429,0.45,0,0,,0,4,4,6,0,1,2,2,9,6.9,-4
68,68,70,2010-03-22,94607,0,85004,L 131-133,*,33:55,6,15,0.4,2,5,0.4,4,10,0.4,0.467,0,0,,1,3,4,8,4,0,1,4,14,14.5,-8
69,69,71,2010-03-24,94607,0,38103,W 128-110,*,40:23,12,19,0.632,4,6,0.667,8,13,0.615,0.737,2,2,1.0,1,4,5,11,4,0,7,3,30,26.9,27
70,70,72,2010-03-27,94607,0,75219,L 90-111,*,36:52,6,16,0.375,3,5,0.6,3,11,0.273,0.469,2,2,1.0,0,7,7,6,2,0,7,1,17,9.1,-5
71,71,73,2010-03-28,94607,1,90015,W 121-103,*,39:52,8,15,0.533,2,2,1.0,6,13,0.462,0.6,0,0,,1,3,4,7,1,0,3,5,18,13.2,17
72,72,74,2010-03-31,94607,1,84101,L 104-128,*,33:37,6,16,0.375,1,4,0.25,5,12,0.417,0.406,2,3,0.667,1,1,2,6,0,0,4,5,15,5.0,-14
73,73,75,2010-04-02,94607,0,10001,W 128-117,*,29:23,7,21,0.333,1,5,0.2,6,16,0.375,0.357,0,0,,1,3,4,10,1,0,2,1,15,10.3,-4
74,74,76,2010-04-04,94607,1,51300,W 113-112,*,44:14,10,23,0.435,5,11,0.455,5,12,0.417,0.543,4,6,0.667,1,7,8,12,3,2,5,4,29,25.1,5
75,75,77,2010-04-06,94607,1,20004,L 94-112,*,33:21,10,21,0.476,3,6,0.5,7,15,0.467,0.548,4,4,1.0,0,1,1,4,2,0,2,2,27,18.6,-21
76,76,78,2010-04-07,94607,1,55403,W 116-107,*,44:15,12,22,0.545,3,5,0.6,9,17,0.529,0.614,0,0,,2,6,8,14,7,0,4,4,27,30.8,5
77,77,79,2010-04-10,94607,1,90015,L 104-107,*,41:13,10,19,0.526,5,10,0.5,5,9,0.556,0.658,4,4,1.0,0,9,9,4,3,0,3,5,29,23.2,0
78,78,80,2010-04-11,94607,0,73102,W 120-117,*,34:34,9,16,0.563,3,6,0.5,6,10,0.6,0.656,4,6,0.667,1,6,7,7,1,0,4,2,25,20.2,3
79,79,81,2010-04-13,94607,0,84101,L 94-103,*,40:40,5,15,0.333,1,4,0.25,4,11,0.364,0.367,6,6,1.0,1,4,5,6,2,0,2,4,17,13.0,-14
80,80,82,2010-04-14,94607,1,97227,W 122-116,*,48:00,13,25,0.52,4,6,0.667,9,19,0.474,0.6,12,12,1.0,3,6,9,8,2,1,2,0,42,39.9,6
1,81,1,2010-10-27,94607,0,77002,W 132-128,*,39:04,9,16,0.563,3,6,0.5,6,10,0.6,0.656,4,4,1.0,1,1,2,11,0,1,5,4,25,20.2,4
2,82,2,2010-10-29,94607,0,90015,W 109-91,*,26:53,7,9,0.778,1,3,0.333,6,6,1.0,0.833,1,3,0.333,0,2,2,6,2,0,2,2,16,15.7,17
3,83,5,2010-11-05,94607,0,84101,W 85-78,*,32:59,7,17,0.412,1,4,0.25,6,13,0.462,0.441,5,5,1.0,0,1,1,6,2,0,5,5,20,10.4,8
4,84,6,2010-11-07,94607,1,48226,L 97-102,*,28:59,3,12,0.25,0,3,0.0,3,9,0.333,0.25,4,4,1.0,1,3,4,6,2,0,2,4,10,7.0,-3
5,85,7,2010-11-08,94607,1,51300,W 109-102,*,36:27,12,21,0.571,2,4,0.5,10,17,0.588,0.619,8,8,1.0,2,3,5,4,3,0,5,2,34,26.4,13
6,86,8,2010-11-10,94607,1,10001,W 122-117,*,45:03,11,20,0.55,1,1,1.0,10,19,0.526,0.575,2,3,0.667,0,6,6,8,2,1,2,4,25,21.5,6
7,87,9,2010-11-11,94607,1,60612,L 90-120,*,30:58,7,18,0.389,2,5,0.4,5,13,0.385,0.444,1,2,0.5,0,3,3,6,5,0,5,2,17,11.1,-13
8,88,10,2010-11-13,94607,1,53203,L 72-79,*,30:02,3,14,0.214,0,3,0.0,3,11,0.273,0.214,1,2,0.5,1,1,2,4,3,1,2,5,7,1.5,-12
9,89,11,2010-11-15,94607,0,48226,W 101-97,*,29:30,7,14,0.5,2,3,0.667,5,11,0.455,0.571,5,5,1.0,0,5,5,4,2,0,3,6,21,14.9,15
10,90,12,2010-11-19,94607,0,10001,L 119-125,*,42:12,9,21,0.429,3,6,0.5,6,15,0.4,0.5,8,9,0.889,0,5,5,8,1,0,4,4,29,20.0,-3
11,91,13,2010-11-21,94607,1,90015,L 89-117,*,24:09,5,10,0.5,1,3,0.333,4,7,0.571,0.55,2,2,1.0,0,3,3,2,1,2,0,3,13,11.5,-26
12,92,14,2010-11-22,94607,0,80204,L 89-106,*,40:36,8,21,0.381,1,6,0.167,7,15,0.467,0.405,0,0,,1,6,7,5,3,0,2,3,17,11.3,-19
13,93,15,2010-11-24,94607,1,77002,L 101-111,*,35:33,8,19,0.421,0,2,0.0,8,17,0.471,0.421,5,5,1.0,0,4,4,6,4,0,1,6,21,16.9,-11
14,94,16,2010-11-26,94607,1,38103,L 111-116,*,30:18,8,13,0.615,4,5,0.8,4,8,0.5,0.769,6,6,1.0,0,2,2,4,1,0,3,5,26,19.5,-1
15,95,17,2010-11-27,94607,1,55403,W 104-94,*,27:33,6,10,0.6,2,3,0.667,4,7,0.571,0.7,6,7,0.857,0,3,3,7,3,0,1,5,20,20.8,16
16,96,18,2010-11-30,94607,0,78219,L 98-118,*,40:06,13,22,0.591,3,6,0.5,10,16,0.625,0.659,3,3,1.0,1,2,3,5,1,1,5,2,32,22.5,-14
17,97,19,2010-12-02,94607,0,85004,L 101-107,*,34:09,4,10,0.4,1,3,0.333,3,7,0.429,0.45,0,0,,1,0,1,7,4,0,4,4,9,7.6,-6
18,98,20,2010-12-05,94607,1,73102,L 109-114,*,45:51,14,20,0.7,4,7,0.571,10,13,0.769,0.8,7,7,1.0,0,1,1,6,2,1,5,5,39,30.8,-9
19,99,21,2010-12-07,94607,1,75219,L 100-105,*,41:33,8,16,0.5,3,5,0.6,5,11,0.455,0.594,2,2,1.0,1,5,6,4,2,0,6,2,21,13.2,-2
20,100,22,2010-12-08,94607,1,78219,L 94-111,*,10:51,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,1,1,3,0,0,2,2,0,-1.8,-15
21,101,29,2010-12-25,94607,0,97227,W 109-102,*,29:18,2,15,0.133,0,5,0.0,2,10,0.2,0.133,0,0,,1,3,4,11,0,0,2,2,4,0.8,7
22,102,30,2010-12-27,94607,0,19148,W 110-95,*,28:20,5,13,0.385,4,6,0.667,1,7,0.143,0.538,3,3,1.0,0,5,5,8,1,0,2,5,17,14.0,18
23,103,31,2010-12-29,94607,1,30313,L 93-103,*,28:58,4,13,0.308,0,3,0.0,4,10,0.4,0.308,1,1,1.0,1,4,5,12,0,0,3,2,9,8.0,-1
24,104,32,2010-12-31,94607,1,,W 96-95,*,36:06,10,17,0.588,4,5,0.8,6,12,0.5,0.706,0,0,,0,1,1,3,1,0,3,3,24,15.3,6
25,105,33,2011-01-01,94607,1,33132,L 107-114,*,35:51,7,12,0.583,1,2,0.5,6,10,0.6,0.625,0,0,,1,1,2,6,3,0,1,5,15,14.6,-12
26,106,34,2011-01-03,94607,1,32801,L 90-110,*,35:00,5,13,0.385,3,6,0.5,2,7,0.286,0.5,2,2,1.0,0,6,6,5,2,0,5,3,15,9.0,-13
27,107,35,2011-01-05,94607,1,,W 110-103,*,39:54,6,11,0.545,1,3,0.333,5,8,0.625,0.591,8,8,1.0,1,2,3,5,4,0,2,3,21,21.3,8
28,108,36,2011-01-07,94607,0,44115,W 116-98,*,24:30,4,7,0.571,3,4,0.75,1,3,0.333,0.786,4,4,1.0,0,2,2,4,2,1,0,2,15,17.0,15
29,109,37,2011-01-09,94607,1,90015,L 91-105,*,25:58,2,13,0.154,0,6,0.0,2,7,0.286,0.154,4,5,0.8,0,5,5,4,1,0,2,4,8,1.0,-13
30,110,38,2011-01-12,94607,0,90015,L 110-115,*,37:51,5,12,0.417,1,6,0.167,4,6,0.667,0.458,4,4,1.0,1,3,4,10,2,0,3,3,15,15.0,2
31,111,39,2011-01-14,94607,0,90015,W 122-112,*,27:09,7,15,0.467,5,7,0.714,2,8,0.25,0.633,4,4,1.0,1,3,4,4,1,0,2,2,23,17.9,9
32,112,40,2011-01-17,94607,0,,W 109-100,*,23:04,4,10,0.4,2,5,0.4,2,5,0.4,0.5,3,4,0.75,0,2,2,6,0,1,2,4,13,9.1,11
33,113,41,2011-01-19,94607,0,46225,W 110-108,*,32:36,4,10,0.4,0,3,0.0,4,7,0.571,0.4,3,3,1.0,0,4,4,8,2,0,1,1,11,13.0,17
34,114,42,2011-01-21,94607,0,95814,W 119-112 (OT),*,44:10,12,21,0.571,3,7,0.429,9,14,0.643,0.643,7,7,1.0,1,2,3,3,4,0,4,2,34,26.7,7
35,115,43,2011-01-22,94607,1,90015,L 109-113,*,40:50,12,23,0.522,3,9,0.333,9,14,0.643,0.587,5,5,1.0,2,4,6,8,1,1,2,5,32,26.6,9
36,116,44,2011-01-24,94607,0,78219,L 102-113,*,36:02,6,15,0.4,2,5,0.4,4,10,0.4,0.467,0,0,,1,5,6,5,0,1,4,4,14,6.7,-4
37,117,45,2011-01-26,94607,0,,L 103-112,*,39:15,8,13,0.615,1,3,0.333,7,10,0.7,0.654,3,3,1.0,0,3,3,6,2,0,5,1,20,15.8,-4
38,118,46,2011-01-28,94607,0,,L 113-121 (OT),*,43:13,8,12,0.667,4,5,0.8,4,7,0.571,0.833,7,7,1.0,0,3,3,5,2,0,3,5,27,23.2,-3
39,119,47,2011-01-30,94607,0,84101,W 96-81,*,34:33,10,18,0.556,3,8,0.375,7,10,0.7,0.639,4,4,1.0,1,5,6,7,2,1,2,2,27,25.4,13
40,120,48,2011-02-03,94607,0,53203,W 100-94,*,33:30,6,11,0.545,2,4,0.5,4,7,0.571,0.636,2,2,1.0,1,4,5,5,1,1,7,2,16,10.0,4
41,121,49,2011-02-05,94607,0,60612,W 101-90,*,44:17,9,15,0.6,2,4,0.5,7,11,0.636,0.667,3,3,1.0,1,5,6,8,1,0,2,1,23,22.5,14
42,122,50,2011-02-07,94607,0,85004,L 92-104,*,44:17,7,17,0.412,0,6,0.0,7,11,0.636,0.412,1,1,1.0,0,2,2,8,1,0,5,1,15,7.7,-12
43,123,51,2011-02-09,94607,0,80204,W 116-114,*,29:19,5,9,0.556,1,3,0.333,4,6,0.667,0.611,2,2,1.0,0,1,1,2,0,0,3,4,13,5.8,-2
44,124,52,2011-02-10,94607,1,85004,L 88-112,*,24:49,5,9,0.556,2,3,0.667,3,6,0.5,0.667,0,0,,0,2,2,2,1,0,4,0,12,6.7,-26
45,125,53,2011-02-13,94607,0,73102,W 100-94,*,37:48,10,18,0.556,2,5,0.4,8,13,0.615,0.611,1,1,1.0,0,2,2,13,2,0,0,2,23,25.3,17
46,126,54,2011-02-15,94607,0,,W 102-89,*,24:21,5,5,1.0,3,3,1.0,2,2,1.0,1.3,1,1,1.0,0,0,0,8,1,0,3,3,14,14.9,13
47,127,55,2011-02-16,94607,1,84101,W 107-100,*,21:30,1,7,0.143,0,3,0.0,1,4,0.25,0.143,2,2,1.0,0,0,0,4,2,0,1,5,4,1.3,-6
