Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,19,CHO,NBA,PG,51,31,28.8,5.7,13.2,.436,1.8,5.1,.352,3.9,8.1,.489,.504,2.5,3.2,.758,1.2,4.7,5.9,6.1,1.6,0.4,2.8,2.7,15.7,ROY-1
2021-22,20,CHO,NBA,PG,75,75,32.3,7.2,16.7,.429,2.9,7.5,.389,4.2,9.2,.462,.517,2.8,3.2,.872,1.4,5.2,6.7,7.6,1.6,0.4,3.3,3.2,20.1,AS
2022-23,21,CHO,NBA,PG,36,36,35.2,8.2,20.0,.411,4.0,10.6,.376,4.2,9.4,.450,.510,2.8,3.4,.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,
2023-24,22,CHO,NBA,PG,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9,
2024-25,23,CHO,NBA,PG,11,11,33.5,10.5,23.4,.447,4.9,13.1,.375,5.5,10.3,.540,.553,4.1,4.8,.849,1.0,4.0,5.0,6.3,1.4,0.3,4.5,4.0,29.9,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,195,175,32.0,7.3,17.1,.428,3.0,7.9,.374,4.3,9.1,.476,.515,2.9,3.5,.836,1.3,4.9,6.2,7.3,1.5,0.3,3.3,3.1,20.5,
